owner.login_name	owner.type	open_issues_count	has_wiki	has_downloads	has_projects	archived	size	fork	owner_popularity	contributor_popularity	average_commit_char_count	num_contributors	num_pull_requests	num_releases	commits	created_time	updated_time
ptrmelko10_LoftwarePrintMod	1	0	1	1	1	0	148	0	0	0	19.0	1	0	0	3	20150818	20150818
ptutak_Planety	1	0	1	1	1	0	105	0	0	0	12.533333333333333	1	0	0	97	20161017	20161017
puckery_DragonbonesBinaryParse	1	0	1	1	1	0	181	0	0	0	15.0	1	0	0	12	20150323	20160702
puckery_xml2fb	1	0	1	1	1	0	292	0	0	0	18.53846153846154	1	0	0	13	20150322	20150415
puffi_cogre	1	0	1	1	1	0	164	0	0	0	25.0	1	0	0	6	20150921	20150921
puhitaku_Loresta-AX-RCF-Calculator	1	0	1	1	1	0	156	0	0	0	10.8	1	0	0	5	20140902	20140909
pujandave25_CS-418-Teapot	1	0	1	1	1	0	637	0	0	0	17.75	1	0	0	8	20160504	20170919
pulkomandy_Haiku-FMOD	1	0	1	1	1	0	3	0	0	0	22.333333333333332	1	0	0	3	20140120	20140522
pulkomandy_gstreamer-sdl2	1	0	1	1	1	0	176	0	0	0	52.625	1	0	0	8	20140226	20181024
pullasunil_practice	1	0	1	1	1	0	164	0	0	0	269.0	1	0	0	4	20141004	20141004
puluosite_cpp4play	1	0	1	1	1	0	4888	0	0	0	24.75	1	0	0	4	20150701	20150701
pumanzor_arduino-stuff	1	0	1	1	1	0	381	0	0	0	17.233333333333334	1	0	0	47	20150906	20180717
punamdahiya_BlingButton	1	0	1	1	1	0	21	0	0	0	17.2	1	0	0	5	20160606	20160606
punith21_qst.cpp	1	0	1	1	1	0	168	0	0	0	13.75	1	0	0	4	20150407	20150504
punpongsanon_SR300_CameraCalibration	1	1	1	1	1	0	15	0	0	0	14.0	1	0	0	5	20170610	20180907
punu13_Guess-the-number	1	1	1	1	1	0	212	0	0	0	30.0	1	0	0	8	20140531	20161011
punu13_IndianPoker	1	0	1	1	1	0	144	0	0	0	26.666666666666668	1	0	0	3	20150904	20151106
purcaro_feed-reader-lib	1	0	1	1	1	0	264	0	20	0	29.625	2	0	0	16	20140302	20161223
purcola_density_filter	1	0	1	1	1	0	6	0	0	0	29.0	1	0	0	5	20151029	20160114
purgatorium_IncrementBuildNumber	1	0	1	1	1	0	50	0	0	0	57.75	1	0	0	4	20151203	20151203
purpleKarrot_ply_parser	1	0	0	0	1	0	4640	0	0	0	12.166666666666666	1	0	0	56	20100708	20131018
pushkarshirali_CacheSimulator	1	0	1	1	1	0	156	0	0	0	35.5	1	0	0	4	20141123	20141123
pushkarshirali_TomasuloAlgorithm	1	0	1	1	1	0	124	0	0	0	38.666666666666664	1	0	0	3	20141123	20141123
puuparta_opencv_videotesting	1	0	1	1	1	0	148	0	0	0	53.125	1	0	0	8	20150401	20150407
puxan_CPlusPlus.NET-Justified-Label	1	0	1	1	1	0	140	0	0	0	14.333333333333334	1	0	0	3	20140410	20140410
puyo_wmmixer	1	0	1	1	1	0	140	0	0	0	40.36363636363637	1	0	0	11	20100404	20170317
